customer_name,customer_id,end_user,address_a,address_b,postal_city_a,postal_city_b,postal_code_a,postal_code_b,country_a,country_b,process_step,order_ref,product_group,product_name,original_process_step,tech,status,system,circuit_id,reg_date,plan_done_date,clean_order_date,agreed_date,sent_OB,agreed_installation_date,FM_date,finalize_access_date,latest_agreed_date,order_counter,last_update_timestamp
NextGenTel AS,163070,NextGenTel/FD,17854871,17857084,FREDRIKSTAD,FREDRIKSTAD,1607,1607,NO,NO,In Execution,396797,Capacity,Enkeltfiber,finalize access,Fiber,IN_PROGRESS,SOS_SUGAR,10303696,21.03.2016,06.04.2016,01.04.2016,09.05.2016,06.04.2016,27.05.2016,,,31.05.2016,1,31.05.2016 08:23:10
Norsk Helsenett SF,201834,Kysthospitalet Stavern,,,Stavern,SKIEN,3294,3710,NO,NO,In Execution,396792,Capacity,Bølgelengde 1 Gbps,finalize access,Bølgelengde,IN_PROGRESS,SOS_SUGAR,10303802,21.03.2016,11.05.2016,20.04.2016,20.05.2016,11.05.2016,13.05.2016,,,20.05.2016,1,31.05.2016 08:23:10
NextGenTel AS,163070,Bergen HQ-BGO-HQ,256902154,,SANDSLI,BERGEN,5254,5018,NO,NO,Planning,396659,Capacity,Bølgelengde 10 Gbps,plan & design,Bølgelengde,IN_PROGRESS,SOS_SUGAR,10302501,21.03.2016,,11.04.2016,,,,,,,1,31.05.2016 08:23:10
NextGenTel AS,163070,Bergen HQ-BGO-HQ,256902154,256955588,SANDSLI,BLOMSTERDALEN,5254,5258,NO,NO,Planning,396655,Capacity,Bølgelengde 10 Gbps,plan & design,Bølgelengde,IN_PROGRESS,SOS_SUGAR,10302476,21.03.2016,,06.04.2016,,,,,,,1,31.05.2016 08:23:10
DataGuard AS,201891,GL,176197456,177630766,GOL,GEILO,3550,3580,NO,NO,Planning,400614,Capacity,Bølgelengde 10 Gbps,plan & design,Bølgelengde,IN_PROGRESS,SOS_SUGAR,10303916,22.04.2016,,11.05.2016,,,,,,,1,31.05.2016 08:23:10
Serit Skagerak AS,214710,TANKO AS,201108795,,TØNSBERG,,3118,,,,In Execution,5503780,Internet,Internett Fiber 20 Mbps (onnet),finalize access,Fiber,IN_PROGRESS,SOS_SUGAR,28895162,29.04.2016,11.05.2016,02.05.2016,13.06.2016,11.05.2016,02.06.2016,,,13.06.2016,1,31.05.2016 08:23:10
Automobil AS HK,208894,Høiden Autosenter AS,55725532,,MOSS,,1528,,NO,,Finalizing,396785,IPVPN,IPVPN Fiber 30 Mbps (onnett),complete order,Fiber,IN_PROGRESS,SOS_SUGAR,28998022,21.03.2016,06.04.2016,22.03.2016,18.05.2016,01.04.2016,01.07.2016,,21.04.2016,01.07.2016,1,31.05.2016 08:23:10
Blix Solutions AS,202068,Blix Solutions,285784175,285721014,OSLO,OSLO,0188,0192,NO,NO,In Execution,330566,Capacity,FTB (Fiber til bedrift med bruksbegrensning),finalize access,Fiber,IN_PROGRESS,SOS_SUGAR,10301415,13.01.2015,28.01.2015,14.01.2015,26.02.2015,28.01.2015,25.05.2015,,,23.05.2015,1,31.05.2016 08:23:10
LA SALSA OSLO AS,273300,LA SALSA OSLO AS,285709568,,OSLO,,0253,,,,In Execution,400677,Internet,Internett Fiber 20 Mbps (onnet),finalize access,Fiber,IN_PROGRESS,SOS_SUGAR,28585842,22.04.2016,04.05.2016,22.04.2016,28.06.2016,04.05.2016,17.06.2016,,,28.06.2016,1,31.05.2016 08:23:10
Viken Fiber AS,200620,Viken Fiber AS,94305346,92256344,SØRUMSAND,LILLESTRØM,1920,2003,NO,NO,Planning,403811,Capacity,Fiberpar,plan & design,Fiber,IN_PROGRESS,SOS_SUGAR,10303970,13.05.2016,,30.05.2016,,,,,,,1,31.05.2016 08:23:10
Viken Fiber AS,200620,Viken Fiber AS,285819192,285698768,OSLO,OSLO,0658,0663,NO,NO,Delivered,403181,Capacity,FTB (Fiber til bedrift med bruksbegrensning),,Fiber,COMPLETED,SOS,10301435,09.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,1,31.05.2016 08:23:10
Viken Fiber AS,200620,Viken Fiber AS,160667513,92256344,RÅHOLT,LILLESTRØM,2070,2003,NO,NO,Validation,403807,Capacity,Fiberpar,validate & disp.,Fiber,NEW,SOS,10302072,13.05.2016,,,,,,,,,1,31.05.2016 08:23:10
Viken Fiber AS,200620,Viken Fiber AS,,285759483,HAGAN,OSLO,1481,0976,NO,NO,Delivered,403276,Capacity,Fiberpar,,Fiber,COMPLETED,SOS,10303210,09.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,1,31.05.2016 08:23:10
Viken Fiber AS,200620,Viken Fiber AS,92245306,,SKEDSMOKORSET,HAGAN,2020,1481,NO,NO,Delivered,403277,Capacity,Fiberpar,,Fiber,COMPLETED,SOS,10303211,09.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,1,31.05.2016 08:23:10
Viken Fiber AS,200620,Viken Fiber AS,92245306,92261743,SKEDSMOKORSET,SKEDSMOKORSET,2020,2019,NO,NO,Delivered,403278,Capacity,Fiberpar,,Fiber,COMPLETED,SOS,10303212,09.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,1,31.05.2016 08:23:10
Viken Fiber AS,200620,Viken Fiber AS,285770988,285841544,OSLO,OSLO,0467,0484,NO,NO,Delivered,403139,Capacity,Fiberpar,,Fiber,COMPLETED,SOS,10303139,09.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,1,31.05.2016 08:23:10
Viken Fiber AS,200620,Viken Fiber AS,285857303,285802984,OSLO,OSLO,0191,0270,NO,NO,Delivered,403156,Capacity,FTB (Fiber til bedrift med bruksbegrensning),,Fiber,COMPLETED,SOS,10301490,09.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,1,31.05.2016 08:23:10
Kvantel AS,201839,Frontica Business Solution AS,72082293,285799981,FORNEBU,OSLO,1364,0250,NO,NO,Delivered,396538,Capacity,Fiberpar,,Fiber,COMPLETED,SOS_SUGAR,10300713,18.03.2016,01.04.2016,01.04.2016,03.05.2016,01.04.2016,09.05.2016,19.05.2016,18.05.2016,11.05.2016,1,31.05.2016 08:23:10
NorgesGruppen Data AS,210589,KIWI 078 Hagafoss,359899083,,HOL,,3576,,NO,,Planning,403828,IPVPN,IPVPN Fiber 4 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS,28849217,13.05.2016,,25.05.2016,,,,,,,1,31.05.2016 08:23:10
Kongsberg Satellite Services AS,200740,Kongsberg Satellite Services AS,60736772,131262195,TROMSØ,HARSTAD,9011,9403,NO,NO,Planning,351694,Capacity,Bølgelengde 10 Gbps,plan & design,Bølgelengde,IN_PROGRESS,SOS_SUGAR,10302279,03.09.2015,,04.09.2015,,,,,27.10.2015,,1,31.05.2016 08:23:10
Kongsberg Satellite Services AS,200740,Kongsberg Satellite Services AS,60736772,131265778,TROMSØ,HARSTAD,9011,9405,NO,NO,Delivered,351695,Capacity,Bølgelengde 10 Gbps,,Bølgelengde,COMPLETED,SOS_SUGAR,10302280,03.09.2015,26.05.2016,04.09.2015,26.05.2016,26.05.2016,26.05.2016,26.05.2016,02.11.2015,26.05.2016,1,31.05.2016 08:23:10
Kongsberg Satellite Services AS,200740,Kongsberg Satellite Services AS,131262195,131279181,HARSTAD,HARSTAD,9403,9405,NO,NO,In Execution,342830,Capacity,Bølgelengde 10 Gbps,finalize access,Bølgelengde,IN_PROGRESS,SOS,10301951,28.05.2015,09.05.2016,01.06.2015,09.05.2016,09.05.2016,09.05.2016,,,09.05.2016,1,31.05.2016 08:23:10
Atea AS.,260572,"1000 NAV - Kristiansand, Tangen 60",219168686,,KRISTIANSAND S,,4608,,NO,,Finalizing,364590,IPVPN,IPVPN Fiber 20 Mbps (offnett),complete order,Fiber,IN_PROGRESS,SOS,28378849,17.12.2015,15.04.2016,06.01.2016,08.07.2016,15.04.2016,02.05.2016,,04.05.2016,08.07.2016,1,31.05.2016 08:23:10
NorgesGruppen Data AS,210589,Kiwi 527 Vikersund,150231290,,VIKERSUND,,3370,,NO,,Planning,371539,IPVPN,IPVPN SHDSL 8 Mbps (oa),plan & design,DSL,IN_PROGRESS,SOS,28908845,08.02.2016,,24.05.2016,,,,,,,1,31.05.2016 08:23:10
Verktøy-senteret Terje Kulvik AS,209630,Verktøysenteret Terje Kulvik AS,276421816,,TILLER,,7075,,NO,,In Execution,400674,Internet,Internett Fiber 100 Mbps (onnet),finalize access,Fiber,IN_PROGRESS,SOS,28231886,22.04.2016,26.04.2016,26.04.2016,28.04.2016,26.04.2016,26.04.2016,,,28.04.2016,1,31.05.2016 08:23:10
Keynet AS,200603,Europris Bø i Telemark,68607148,,BØ I TELEMARK,,3802,,NO,,Planning,400672,Internet,Internett Fiber 10 Mbps (offnet),plan & design,Fiber,IN_PROGRESS,SOS,28772881,22.04.2016,,30.05.2016,,,,,,,1,31.05.2016 08:23:10
Norsk Helsenett SF,201834,Kristiansands Sykehus,219145305,233072448,KRISTIANSAND S,ARENDAL,4615,4838,NO,NO,Delivered,396791,Capacity,Bølgelengde 1 Gbps,,Bølgelengde,COMPLETED,SOS_SUGAR,10303801,21.03.2016,11.05.2016,20.04.2016,20.05.2016,11.05.2016,12.05.2016,26.05.2016,18.05.2016,20.05.2016,1,31.05.2016 08:23:10
Kystverket,125977,Kystverket-Nordland Sjøtrafikkavdeling,180258600,,LØDINGEN,,8410,,NO,,Delivered,403805,IPVPN,IPVPN SHDSL 20 Mbps (oa5),,DSL,COMPLETED,SOS,31711593,13.05.2016,18.05.2016,18.05.2016,25.05.2016,18.05.2016,18.05.2016,18.05.2016,18.05.2016,25.05.2016,1,31.05.2016 08:23:10
Norsk Helsenett SF,201834,Drammen sykehus,133186492,,DRAMMEN,GJETTUM,3004,1346,NO,NO,Delivered,396680,Capacity,Bølgelengde 1 Gbps,,Bølgelengde,COMPLETED,SOS_SUGAR,10303803,21.03.2016,11.05.2016,20.04.2016,20.05.2016,11.05.2016,12.05.2016,23.05.2016,11.05.2016,20.05.2016,1,31.05.2016 08:23:10
Norsk Helsenett SF,201834,Pasientreiser / RHF Skien,41786803,201105283,SKIEN,TØNSBERG,3736,3116,NO,NO,Delivered,396790,Capacity,Bølgelengde 1 Gbps,,Bølgelengde,COMPLETED,SOS_SUGAR,10303804,21.03.2016,26.05.2016,20.04.2016,26.05.2016,26.05.2016,26.05.2016,26.05.2016,19.05.2016,26.05.2016,1,31.05.2016 08:23:10
NextGenTel AS,163070,Blomsterdalen sentral-BLO,256955588,,BLOMSTERDALEN,STRAUMSGREND,5258,5151,NO,NO,Planning,396775,Capacity,Bølgelengde 10 Gbps,plan & design,Bølgelengde,IN_PROGRESS,SOS_SUGAR,10302487,21.03.2016,,20.04.2016,,,,,,,1,31.05.2016 08:23:10
REJLERS EMBRIQ AS,218564,REJLERS EMBRIQ AS,126193329,,TROLLÅSEN,,1414,,NO,,Delivered,400687,Internet,Internett Fiber 10 Mbps (onnet),,Fiber,COMPLETED,SOS,28692044,22.04.2016,04.05.2016,28.04.2016,04.05.2016,04.05.2016,04.05.2016,04.05.2016,04.05.2016,04.05.2016,1,31.05.2016 08:23:10
REJLERS EMBRIQ AS,218564,REJLERS EMBRIQ AS,285785878,,OSLO,,0581,,NO,,Delivered,400693,Internet,Internett Fiber 10 Mbps (onnet),,Fiber,COMPLETED,SOS,28933140,22.04.2016,04.05.2016,28.04.2016,04.05.2016,04.05.2016,04.05.2016,04.05.2016,04.05.2016,04.05.2016,1,31.05.2016 08:23:10
REJLERS EMBRIQ AS,218564,REJLERS EMBRIQ AS,285793443,26599263,OSLO,SARPSBORG,0581,1723,NO,NO,Delivered,404017,Ethernet,Ethernet Aksess SHDSL 4000 (oa4),,DSL,COMPLETED,SOS,28956172,18.05.2016,20.05.2016,20.05.2016,20.05.2016,,,20.05.2016,20.05.2016,20.05.2016,1,31.05.2016 08:23:10
HCL TECHNOLOGIES NORWAY AS,233579,DNB Bank Markets,364157118,285802238,OSLO,OSLO,0191,0972,NO,NO,Finalizing,397038,Capacity,Bølgelengde 10 Gbps,complete order,Bølgelengde,IN_PROGRESS,SOS_SUGAR,10303872,22.03.2016,04.05.2016,02.05.2016,14.06.2016,04.05.2016,31.05.2016,,27.05.2016,14.06.2016,1,31.05.2016 08:23:10
HCL TECHNOLOGIES NORWAY AS,233579,DNB Bank Markets,364157118,285802238,OSLO,OSLO,0191,0972,NO,NO,In Execution,397036,Capacity,Bølgelengde 10 Gbps,finalize access,Bølgelengde,IN_PROGRESS,SOS_SUGAR,10303873,22.03.2016,27.05.2016,02.05.2016,14.06.2016,04.05.2016,31.05.2016,,,14.06.2016,1,31.05.2016 08:23:10
Viken Fiber AS,200620,Viken Fibernett AS,285692121,285683634,Oslo,Oslo,0264,0250,NO,NO,Delivered,403116,Capacity,FTB (Fiber til bedrift med bruksbegrensning),,Fiber,COMPLETED,SOS,106825,06.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,1,31.05.2016 08:23:10
Viken Fiber AS,200620,Viken Fibernett AS,,285704901,Oslo,Oslo,0182,0186,NO,NO,Delivered,403122,Capacity,FTB (Fiber til bedrift med bruksbegrensning),,Fiber,COMPLETED,SOS,107237,06.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,1,31.05.2016 08:23:10
Viken Fiber AS,200620,Viken Fibernett AS,,146964960,Fornebu,FORNEBU,1364,1364,NO,NO,Delivered,403123,Capacity,FTB (Fiber til bedrift med bruksbegrensning),,Fiber,COMPLETED,SOS,110134,06.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,1,31.05.2016 08:23:10
Viken Fiber AS,200620,Viken Fibernett AS,285692125,285764081,Oslo,Oslo,0264,0257,NO,NO,Delivered,403133,Capacity,FTB (Fiber til bedrift med bruksbegrensning),,Fiber,COMPLETED,SOS,106692,09.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,24.05.2016,1,31.05.2016 08:23:10
Uninett AS,141834,Uninett,138375946,,NARVIK,Alta,8515,9513,NO,NO,Validation,403803,Capacity,Bølgelengde 10 Gbps,validate & disp.,Bølgelengde,IN_PROGRESS,SOS,,13.05.2016,,,,,,,,,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,ROG20089,168365715,,STAVANGER,,4025,,NO,,Planning,397035,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS_SUGAR,28469548,22.03.2016,,26.04.2016,,,,,,,1,31.05.2016 08:23:10
CONTERA AS,204655,Contera AS,256954021,,ULSET,,5116,,,,Delivered,5503330,Internet,Internett Fiber 30 Mbps (offnet),,Fiber,COMPLETED,SOS,28748908,22.03.2016,10.05.2016,12.04.2016,01.06.2016,10.05.2016,27.05.2016,28.05.2016,27.05.2016,01.06.2016,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,TLM17032,41767010,,SKIEN,,3722,,NO,,Planning,396986,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS_SUGAR,28902541,22.03.2016,,08.04.2016,,,,,,,1,31.05.2016 08:23:10
"SOCIETA ITALIANA PER CONDOTTE D'ACQUA S.P.A.",258079,"SOCIETA ITALIANA PER CONDOTTE D'ACQUA",285673426,,OSLO,,0191,,NO,,In Execution,403125,Internet,Internett Fiber 20 Mbps (onnet),finalize access,Fiber,IN_PROGRESS,SOS_SUGAR,28711751,06.05.2016,23.05.2016,09.05.2016,22.06.2016,23.05.2016,13.06.2016,,,22.06.2016,1,31.05.2016 08:23:10
"SOCIETA ITALIANA PER CONDOTTE D'ACQUA S.P.A.",258079,"SOCIETA ITALIANA PER CONDOTTE D'ACQUA",285673426,,OSLO,,0191,,NO,,In Execution,403121,Internet,Internett Fiber 100 Mbps (onnet),finalize access,Fiber,IN_PROGRESS,SOS_SUGAR,28920555,18.05.2016,30.05.2016,19.05.2016,10.08.2016,30.05.2016,20.06.2016,,,10.08.2016,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,ROG20148,162724641,,SANDNES,,4328,,NO,,Planning,396988,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS,28401216,22.03.2016,,13.04.2016,,,,,,,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,ROG20094,,,Stavanger,,4085,,NO,,Planning,397041,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS,28565239,22.03.2016,,13.04.2016,,,,,,,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,ROG20023,168340615,,STAVANGER,,4006,,NO,,Planning,397040,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS,28994052,22.03.2016,,08.04.2016,,,,,,,1,31.05.2016 08:23:10
Motell Nor Kro AS,273132,Motell Nor Kro AS,196183868,,NESBYEN,,3540,,NO,,Validation,400173,Internet,Internett Fiber 20 Mbps (offnet),validate & disp.,Fiber,IN_PROGRESS,SOS,,09.05.2016,,,,,,,,,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,TLM17031,41220843,,PORSGRUNN,,3922,,NO,,Planning,396956,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS_SUGAR,28940827,22.03.2016,,13.04.2016,,,,,,,1,31.05.2016 08:23:10
ONECO SØR AS,256718,OneCo Sør as,233107082,,ARENDAL,,4848,,NO,,In Execution,403812,Internet,Internett Fiber 20 Mbps (onnet),finalize access,Fiber,IN_PROGRESS,SOS_SUGAR,28980117,13.05.2016,30.05.2016,17.05.2016,16.08.2016,30.05.2016,24.06.2016,,,16.08.2016,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,TLM17017,,,Skien,,3735,,NO,,Planning,396959,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS,28415279,22.03.2016,,26.04.2016,,,,,,,1,31.05.2016 08:23:10
Teknograd,221122,Computer Communications AS,285718604,285679529,OSLO,OSLO,0153,0164,NO,NO,Finalizing,400992,Capacity,Fiberpar,complete order,Fiber,IN_PROGRESS,SOS_SUGAR,10303667,26.04.2016,06.05.2016,03.05.2016,03.06.2016,06.05.2016,25.05.2016,,24.05.2016,03.06.2016,1,31.05.2016 08:23:10
LEVEL 3 PEC NORGE AS,162743,Level 3,285702887,285780591,OSLO,OSLO,0598,0181,NO,NO,In Execution,400700,Ethernet,Ethernet Punkt til Punkt 1 Gbps,finalize access,Other,IN_PROGRESS,SOS_SUGAR,28679059,22.04.2016,18.05.2016,09.05.2016,14.06.2016,10.05.2016,03.06.2016,,,14.06.2016,1,31.05.2016 08:23:10
LEVEL 3 PEC NORGE AS,162743,Level 3,,162736764,OSLO,FIGGJO,0579,4332,NO,NO,Finalizing,369345,Ethernet,Ethernet Punkt til Punkt 10 Mbps,complete order,Other,IN_PROGRESS,SOS,28909778,29.01.2016,15.03.2016,18.02.2016,28.04.2016,15.03.2016,17.06.2016,,31.05.2016,28.06.2016,1,31.05.2016 08:23:10
Sørumsand Industribygg,274171,Sørumsand Industribygg,94314480,,SØRUMSAND,,1920,,NO,,Planning,403829,Internet,Internett Fiber 10 Mbps (onnet),plan & design,Fiber,IN_PROGRESS,SOS_SUGAR,28716775,13.05.2016,,17.05.2016,,,,,,,1,31.05.2016 08:23:10
Lindbakgruppen AS,213437,Lindbakkgruppen AS,115891476,,BODØ,,8012,,NO,,In Execution,368451,IPVPN,IPVPN SHDSL 12 Mbps (oa3),finalize access,DSL,IN_PROGRESS,SOS,28946855,20.01.2016,13.05.2016,21.01.2016,06.06.2016,13.05.2016,26.05.2016,,,06.06.2016,1,31.05.2016 08:23:10
Firesafe AS,209127,Firesafe avd østfold,17884924,,TORP,,1658,,NO,,Planning,396983,Internet,Internett Fiber 50 Mbps (onnet),plan & design,Fiber,IN_PROGRESS,SOS_SUGAR,28429046,22.03.2016,,23.03.2016,,,,,,,1,31.05.2016 08:23:10
Viju Norge AS,207612,Gjensidige Forsikring Klingenberggata,285719965,,OSLO,,0161,,NO,,Planning,401383,IPVPN,IPVPN SHDSL 2 Mbps (oa),plan & design,DSL,IN_PROGRESS,SOS,28355135,02.05.2016,,24.05.2016,,,,,,,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,ROG20147,,,Sandnes,,4325,,NO,,Planning,396990,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS,28497545,22.03.2016,,26.04.2016,,,,,,,1,31.05.2016 08:23:10
IKNOW SOLUTIONS NORGE AS,224866,Intelligent Communication Norge,285664971,,OSLO,,0180,,NO,,In Execution,398070,Internet,Internett Fiber 100 Mbps (onnet),finalize access,Fiber,IN_PROGRESS,SOS_SUGAR,28103406,31.03.2016,11.04.2016,04.04.2016,25.04.2016,11.04.2016,14.04.2016,,,25.04.2016,1,31.05.2016 08:23:10
ACTEIN AS,273298,ACTEIN AS,202353845,,LARVIK,,3263,,NO,,In Execution,400671,Internet,Internett Fiber 100 Mbps (onnet),finalize access,Fiber,IN_PROGRESS,SOS_SUGAR,28589507,22.04.2016,27.05.2016,23.04.2016,08.06.2016,27.05.2016,08.06.2016,,,08.06.2016,1,31.05.2016 08:23:10
Atea AS.,260572,"0511 - NAV Dovre, Dombås Næringshage",485552654,,DOMBÅS,,2660,,NO,,Planning,364641,IPVPN,IPVPN Fiber 4 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS,28335940,17.12.2015,,05.01.2016,,,,,,,1,31.05.2016 08:23:10
EVIDENSIA TROMSØ VETERINÆRSENTER AS,258127,TROMSØ VETERINÆRSENTER AS,60755443,,TROMSØ,,9006,,NO,,Delivered,396059,Internet,Internett Fiber 10 Mbps (onnet),,Fiber,COMPLETED,SOS_SUGAR,28932665,16.03.2016,20.04.2016,22.03.2016,20.05.2016,20.04.2016,10.05.2016,20.05.2016,10.05.2016,20.05.2016,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,ROG20143,162712005,,SANDNES,,4323,,NO,,Planning,396995,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS_SUGAR,28600638,22.03.2016,,05.04.2016,,,,,,,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,ROG20146,162709617,,SANDNES,,4318,,NO,,Planning,397002,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS_SUGAR,28618452,22.03.2016,,05.04.2016,,,,,,,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,ROG20108,38188393,,TANANGER,,4056,,NO,,Planning,397016,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS_SUGAR,28862147,22.03.2016,,13.04.2016,,,,,,,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,ROG20056,,,Sola,,4052,,NO,,Planning,397011,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS,28697641,22.03.2016,,13.04.2016,,,,,,,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,TLM17008,,,Skien,,3747,,NO,,Planning,396964,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS_SUGAR,28456511,22.03.2016,,12.04.2016,,,,,,,1,31.05.2016 08:23:10
Nordic Last og Buss AS,245718,Nordic Last og Buss AS Tromsø,60760910,,TROMSØ,,9019,,NO,,In Execution,355742,IPVPN,IPVPN Fiber 20 Mbps (onnett),finalize access,Fiber,IN_PROGRESS,SOS_SUGAR,28601599,07.10.2015,22.01.2016,08.10.2015,14.01.2016,12.10.2015,18.03.2016,,,25.03.2016,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,TLM17023,,,Skien,,3740,,NO,,Planning,396985,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS_SUGAR,28783010,22.03.2016,,26.04.2016,,,,,,,1,31.05.2016 08:23:10
Hotell og Restauranthuset Continental AS,214021,Hotell og Restauranthuset Continental AS,285772993,,OSLO,,0161,,NO,,Validation,401882,Internet,Internett Fiber 200 Mbps (onnet),validate & disp.,Fiber,NEW,SOS,28888,06.05.2016,,,,,,,,,1,31.05.2016 08:23:10
Hotell og Restauranthuset Continental AS,214021,Hotell og Restauranthuset Continental AS,,,OSLO,,0177,,NO,,Validation,401886,Internet,Internett Fiber 100 Mbps (onnet),validate & disp.,Fiber,NEW,SOS,08.071.1.2,06.05.2016,,,,,,,,,1,31.05.2016 08:23:10
EWOS HOLDING AS,254577,Ewos AS,256861327,,BERGEN,,5004,,NO,,Finalizing,337331,IPVPN,IPVPN Fiber 200 Mbps (onnett),complete order,Fiber,IN_PROGRESS,SOS,28290215,26.03.2015,20.04.2015,08.04.2015,30.04.2015,20.04.2015,24.04.2015,,24.04.2015,30.04.2015,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,ROG20149,162707984,,SANDNES,,4327,,NO,,Planning,397000,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS,28739401,22.03.2016,,13.04.2016,,,,,,,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,ROG20033,,,Sandnes,,4319,,NO,,Planning,397001,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS_SUGAR,28322771,22.03.2016,,05.04.2016,,,,,,,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,ROG20016,162711022,,SANDNES,,4313,,NO,,Planning,396998,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS_SUGAR,28828222,22.03.2016,,05.04.2016,,,,,,,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,ROG20024,,,Sandnes,,4313,,NO,,Planning,396992,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS,28502381,22.03.2016,,13.04.2016,,,,,,,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,ROG20015,162712447,,SANDNES,,4313,,NO,,Planning,397008,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS_SUGAR,28378370,22.03.2016,,05.04.2016,,,,,,,1,31.05.2016 08:23:10
Atea AS.,260572,"1818 - NAV Herøy, Rådhuset",399167030,,HERØY,,8850,,NO,,Finalizing,364650,IPVPN,IPVPN Fiber 4 Mbps (offnett),complete order,Fiber,IN_PROGRESS,SOS,28855558,17.12.2015,12.04.2016,05.01.2016,08.07.2016,12.04.2016,29.04.2016,,29.04.2016,08.07.2016,1,31.05.2016 08:23:10
Ice Communication Norge AS,267533,ROG20107,38186346,,TANANGER,,4056,,NO,,Planning,397013,IPVPN,IPVPN Fiber 300 Mbps (offnett),plan & design,Fiber,IN_PROGRESS,SOS_SUGAR,28376739,22.03.2016,,13.04.2016,,,,,,,1,31.05.2016 08:23:10
